v(A),v(B),r(AXII)(Å),r(AVI)(Å),r(BVI)(Å),EN(A),EN(B),l(AO)(Å),l(BO)(Å),ΔENR,tG,τ,μ,A_Ac,A_Ag,A_Al,A_As,A_Au,A_B,A_Ba,A_Be,A_Bi,A_Ca,A_Cd,A_Ce,A_Co,A_Cr,A_Cs,A_Cu,A_Dy,A_Er,A_Eu,A_Fe,A_Ga,A_Gd,A_Ge,A_Hf,A_Hg,A_Ho,A_In,A_Ir,A_K,A_La,A_Li,A_Lu,A_Mg,A_Mn,A_Mo,A_Na,A_Nb,A_Nd,A_Ni,A_Np,A_Os,A_Pa,A_Pb,A_Pd,A_Pm,A_Pr,A_Pt,A_Pu,A_Rb,A_Re,A_Rh,A_Ru,A_Sb,A_Sc,A_Si,A_Sm,A_Sn,A_Sr,A_Ta,A_Tb,A_Tc,A_Te,A_Th,A_Ti,A_Tl,A_Tm,A_U,A_V,A_W,A_Y,A_Yb,A_Zn,A_Zr,B_Ac,B_Ag,B_Al,B_As,B_Au,B_B,B_Ba,B_Be,B_Bi,B_Ca,B_Cd,B_Ce,B_Co,B_Cr,B_Cs,B_Cu,B_Dy,B_Er,B_Eu,B_Fe,B_Ga,B_Gd,B_Ge,B_Hf,B_Hg,B_Ho,B_In,B_Ir,B_K,B_La,B_Li,B_Lu,B_Mg,B_Mn,B_Mo,B_Na,B_Nb,B_Nd,B_Ni,B_Np,B_Os,B_Pa,B_Pb,B_Pd,B_Pm,B_Pr,B_Pt,B_Pu,B_Rb,B_Re,B_Rh,B_Ru,B_Sb,B_Sc,B_Si,B_Sm,B_Sn,B_Sr,B_Ta,B_Tb,B_Tc,B_Te,B_Th,B_Ti,B_Tl,B_Tm,B_U,B_V,B_W,B_Y,B_Yb,B_Zn,B_Zr,In literature_False,In literature_True,Lowest distortion
0,0,1.12,1.12,0.95,1.1,1.69,0,2.286435201,-2.661071429,0.758259187,,0.678571429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,orthorhombic
0,0,1.12,1.12,0.94,1.1,1.12,0,2.268642439,-2.868428571,0.761499611,,0.671428571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,cubic
0,0,1.12,1.12,0.63,1.1,1.88,0,1.930310969,-1.9245,0.877787728,,0.45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,rhombohedral
0,0,1.12,1.12,0.58,1.1,1.66,0,1.960053288,-1.909285714,0.899954085,,0.414285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,orthorhombic
0,0,1.12,1.12,1.67,1.1,0.79,0,3.009747218,-4.507357143,0.580426413,,1.192857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,tetragonal
0,0,1.12,1.12,0.68,1.1,1.9,0,2.005573846,-2.019714286,0.856687062,,0.485714286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,orthorhombic
0,0,1.12,1.12,0.99,1.1,1.22,0,2.255580699,-2.931642857,0.745568656,,0.707142857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,orthorhombic
0,0,1.12,1.12,0.89,1.1,1.24,0,2.250676638,-2.717214286,0.77812624,,0.635714286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,orthorhombic
0,0,1.12,1.12,1.06,1.1,1.2,0,2.354367494,-3.084142857,0.724353288,,0.757142857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,orthorhombic
0,0,1.12,1.12,0.67,1.1,1.83,0,1.999521816,-2.027071429,0.860825647,,0.478571429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,orthorhombic
